addr,time,Fx,Fy,Fz,Mx,My,Mz
170,4.577,0.00158,0.00608,-0.00501,0.0001,0,-0.00013
170,4.578,-0.00142,-0.00285,0.00058,0.00005,0.00017,-0.00002
170,4.579,0.00055,0.00788,-0.00083,0.0001,-0.00005,0.00014
170,4.58,0.01071,-0.00223,0.00388,0,-0.00002,0.00011
170,4.581,0.00173,0.00648,-0.00206,0.00008,-0.00017,-0.00003
170,4.582,-0.01173,0.00721,-0.00435,0.00007,0.00004,-0.00002
170,4.583,-0.00384,-0.00468,-0.00217,0.00003,0.00018,0.00002
170,4.584,-0.00495,0.00789,-0.00261,0.00006,0.00014,-0.00005
170,4.585,-0.00731,-0.0025,0.00441,0.00002,0.00014,-0.00009
170,4.586,-0.00223,0.00757,-0.00042,0.00002,0.00022,0.00007
170,4.587,-0.00458,0.00776,-0.00265,0.00004,0.00014,0
170,4.588,0.00658,0.00608,-0.00125,0.0001,-0.00019,0.00004
170,4.589,0.00847,0.01434,0.00066,0.00014,-0.00008,0.00005
170,4.59,0.001,0.01035,-0.00211,0.00035,-0.00001,0.00019
170,4.591,0.0101,0.01548,0.00443,0.00022,-0.00018,-0.00007
170,4.592,0.01288,0.01389,-0.00013,0.0003,-0.00022,-0.00005
170,4.593,0.00432,0.00345,0.00301,0.00016,-0.00004,-0.00003
170,4.594,0.00002,0.00598,-0.00982,0.00004,0.00003,0.00011
170,4.595,0.00114,0.0021,0.0032,-0.00006,0.00011,0.00013
170,4.596,-0.00424,0.0066,-0.00586,0.00015,0.00011,0.00006
170,4.597,-0.00487,0.00054,-0.00241,0.00001,0,0.00005
170,4.598,-0.00179,-0.00152,-0.00139,-0.00006,-0.00001,0.00019
170,4.599,0.0016,-0.00379,-0.00912,-0.00001,0.00006,0.00011
170,4.6,0.00429,0.00598,0.00246,0.00018,0.00003,0.0001
170,4.601,-0.01042,-0.00774,0.00154,-0.00009,0.00018,0.00001
170,4.602,-0.00019,-0.00199,-0.00758,0.00001,0.00012,-0.00004
170,4.603,0.00259,0.00262,0.00218,0.00007,0.00003,-0.00005
170,4.604,-0.00176,-0.00432,-0.00506,-0.00007,0.00014,-0.00006
170,4.605,0.0018,0.00037,0.00295,-0.00004,-0.00011,-0.00001
170,4.606,0.00243,-0.00069,-0.0023,0.0001,-0.00014,0.00003
170,4.607,0.00185,0.00535,-0.00211,0.00005,0.00012,0.00003
170,4.608,-0.00286,0.00214,0.00042,0.00015,0,-0.00003
170,4.609,-0.00187,0.01124,0.00189,0.00008,0.00012,0.00004
170,4.61,-0.00158,-0.00163,0.00441,0.00017,0.0001,0.0001
170,4.611,-0.00196,0.01654,-0.00196,0.00035,0.00001,0.00002
170,4.612,0.00199,-0.0022,0.00835,-0.00012,0.00001,-0.00009
170,4.613,-0.00228,-0.00283,0.00032,0.00004,-0.00001,-0.00003
170,4.614,-0.01019,0.00141,0.0092,-0.0001,0.00017,-0.00012
